caption,display_url,likes,short_code,post_year,post_month
Toilet paper or dog throne? You decide. #Costco,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-15/25038056_357236401352358_1549568219793063936_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2AE1_qprQ4WJ4PlfE_H5_JU9wVYhtq2jgV--HK2dldj-7jQ5yMV9dnm_an68cRWUSUUUehMqOb53HdSsJSpW7Og4&_nc_ohc=yByBERmmrdwQ7kNvgH3wHTM&_nc_gid=a61e5e1cb5aa498e8041e37eac0262e0&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBLRv-XRjeNE-s1krHR1O8waNgD0esnTOv3887xLPwiPQ&oe=67B8251A&_nc_sid=d885a2,4696.0,BdyavJtHwlR,2018,1
What are you snacking on today? 📸: @mommafitlyndsey,https://scontent-dfw5-2.cdninstagram.com/v/t51.2885-15/96815452_241769666911603_4682274537698782398_n.jpg?stp=dst-jpg_e35_s1080x1080_tt6&_nc_ht=scontent-dfw5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AH3pBHYVoh92dcedCOFuR8LJOtxpiCjT8TqipSpSLcnTUqf8tQhskPJfLpWnCE59H0&_nc_ohc=alvZjXAzHIMQ7kNvgFq8_fX&_nc_gid=b02b1e9fa57d4b218846887871acbeec&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBqrpmOkSkmaByGRuI3vGkmkKKTSM-AmwIlesbXgdY32Q&oe=67B83646&_nc_sid=d885a2,7148.0,CAL_5mFgL6h,2020,5
What are you picking up on your next trip to Costco?,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/72283262_136237074331670_7141660090254782845_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2AEtHVLxQN1R_FxKJHQ9DcZzVaWZ2QnABtHcHcNtRtbZ-W6r09vu5zJQ3YLqCfkQrTzX4my6IxnJqjfZ9oDVuLDc&_nc_ohc=5cbMWpUIcH8Q7kNvgHV-UvF&_nc_gid=d8d73f1952cc4007aea6b1ad040b8b2c&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYA8vCfhieEGIatXOvxET6llLrRYi6RGfpXe95EmrSo-zA&oe=67B8218E&_nc_sid=d885a2,2504.0,B3HuDgagtqR,2019,10
"In one week we welcome our newest addition to the Costco family. Bonjour, Costco France.",https://scontent-iad3-2.cdninstagram.com/v/t51.2885-15/19121125_106089316671414_1905039809362001920_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2AFKGxWkzRxV65VwY5YM0A8m8yQmVrOCc5lLl3AtdizO_llH14V9tKHD-pF5qhHHarXYAbo3cKNnEg2vccAQHJZa&_nc_ohc=KQ_bq44kKI4Q7kNvgG9x9bc&_nc_gid=d1e189a5a18d47c9ba0d65ea6acb95de&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYC0JqDKMQIbzR4hfVebh520yrdMaMNvPRRdn0GlkIvjVA&oe=67B851D6&_nc_sid=d885a2,2165.0,BVYE7jxgxyD,2017,6
"Fresh Fruit-Topped Bar Cake, made from scratch in our bakery. How sweet it is.",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/13744287_1757815081153420_871511986_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2AH4_m9ObhL79Nt56wwbDIggvA1VxkwZVxlH4aDCl4Le_GG7lWffDIAKL7wQu80-kh3yD5TFdDPa2ad4EZJ8Ri_R&_nc_ohc=q2Nx16iC73kQ7kNvgEOl-my&_nc_gid=039cd2ba455f4f8ca66dc1513e6923b4&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDOzXfR4oGfY5R7W9SDHBOuvNIPg9YWL8Jleqij6iGcuw&oe=67B8384E&_nc_sid=d885a2,1749.0,BIlWcDTBEAZ,2016,8
"If you've dreamed of visiting Cuba, stop dreaming and start planning. Costco Travel now offers cruises that can take you there.",https://scontent-mia3-2.cdninstagram.com/v/t51.2885-15/16465290_1818706808369611_3231175120223469568_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-mia3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2AEGMFaJc0unlqOjyfnPncaNP6ZEjeo4chKtYYiZlk6ruAfXpgflAbzOUddTZKLP5_RDvCuofVoVu77NN_Fg7B5T&_nc_ohc=PvP22zssBokQ7kNvgEiiEfb&_nc_gid=69a402da71574de099bf4dffef7f6bfd&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYAuVJybTSrqyZoNU1NVuRo9PfJLYtMTFJ5ydaHGVUAHQw&oe=67B834DF&_nc_sid=d885a2,629.0,BQN5yKqBDKa,2017,2
Snack on something sweet AND salty. 🍫 Save $3 through 7/25/21.  Available in-warehouse and online: barkTHINS Dark Chocolate Almond & Sea Salt,https://scontent-phx1-1.cdninstagram.com/v/t51.29350-15/209655796_1231586663911395_8052418806447678394_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-phx1-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2AF58f4AYdsp8GXSHsru3RQ_fVHVnVwoYYMepQ1DO33R6TUZkcYFTSaQP5VN9OcZ7-yjbdwxtxZKIIMWOYVR9Yjt&_nc_ohc=ez2ftNid8o4Q7kNvgEc8WbP&_nc_gid=0fffb808a7684432bb1ba717b5f8d85d&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYD94CXZrEmN6dqCDuA3MAWXgRQ7WifyJ3hrfIoeEgyR_A&oe=67B84CB8&_nc_sid=d885a2,1766.0,CQteHB8LuCg,2021,6
"Friendly reminder: We'll be closed Monday, September 4.",https://scontent-lga3-2.cdninstagram.com/v/t51.2885-15/21147696_304125496718937_2491436152460935168_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2AGSsTf8_nocPqJMGVduVlcbzFSpUTIfacLdP_8FNj--JZIUsmCMbNXdtJZjn6Hoqvk&_nc_ohc=ch47a5tqApMQ7kNvgGqfl-x&_nc_gid=7acf447fedb6415db51f363419d6ff45&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDxkc92ZBI4RvLYCd04vN5XPssGVqAYt2-pB_p_b0D_mw&oe=67B81DEC&_nc_sid=d885a2,1384.0,BYbl4ENnpsH,2017,8
Take your cooking to the next level with All-Clad pots and pans. 🍳   Search Costco.com:  All-Clad 12-piece Hard Anodized Cookware,https://scontent-bos5-1.cdninstagram.com/v/t51.29350-15/116376736_308630073661427_1118054745622280564_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2AEB1eP1mIv2OaEuoi1XrYuVjPSerQWQJdu_rCs6E_3HgDHkuP3m9NtXGYq0i4xJ0C6JBfsY0mWz9cb-iVIshBZa&_nc_ohc=5STojF2wXRMQ7kNvgE_naXo&_nc_gid=3ce6e32ad10f422fa8e4b71da6c26f56&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYDeBF6BnIXLP0OgUbI5ofA4luktfxzhxk8bXUKKs3Z9mQ&oe=67B848D0&_nc_sid=d885a2,1670.0,CDPXuHiAEFz,2020,7
"Vacuum and wash with the same tool, at the same time! ⏲ Save $50 through 9/26/21.  Available in warehouses and at Costco.com: BISSELL® CrossWave® Premier Multi-Surface Wet Dry Vacuum",https://instagram.fric1-1.fna.fbcdn.net/v/t51.29350-15/242686042_550864139514433_3050963256597164998_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=instagram.fric1-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2AHaR4QsieurVl09YLf1kxJySaH0xNJBTIrd-2hkJgehEi9huFnGPeQK8niinL6UPkAmfI0EpHndOVfPNNw3fC-k&_nc_ohc=RCcFCkznFysQ7kNvgFGew9C&_nc_gid=e39f744f51224944bbd0a5fc41029000&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYCLW2A2NH7UUbkM7TD5klaipSP3nfksffGuD4JvbMfYGw&oe=67B83C25&_nc_sid=d885a2,1787.0,CUIlkcZvYHh,2021,9
"Start your day with this smoothie bowl.  Blend: •½ cup Kirkland Signature™ frozen blueberries •½ cup blackberries •1 banana •½ cup yogurt •1 cup almond milk Top with fruit, nuts or seeds. Enjoy!",https://scontent-bos5-1.cdninstagram.com/v/t51.2885-15/11372248_963626833689193_611030887_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AF4o_uz79SU5UPxD02cuXf3fThORZPamg0QbNz0hhoMFmDl4g27rkX8TUSReCqOHfs&_nc_ohc=-gwZAXS1gE4Q7kNvgHbCWXl&_nc_gid=2aaf50e8dd634e31af2bc398845d737f&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBLBRfuemNGaaWYUkA1LsMzbbXfyiHf1C-wqtBQYMdfPA&oe=67B81E4D&_nc_sid=d885a2,559.0,4rgy46wrLq,2015,7
What #CostcoTreasure‬ did you find today?,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/12292644_1146936945324337_1245819615_n.jpg?stp=dst-jpg_e35_tt6&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2AEcPNfN3egYq2lmsmtEoIrhmkJvd93WVVe7ZK7vkmlZBncG63sKBesjF74JuTyDm3KYlgieGeUePLdhD8NFkKu8&_nc_ohc=p-VZlGEMy04Q7kNvgH8rbrB&_nc_gid=f6a047bd28054dc19c15592e7f7330d4&edm=ANTKIIoBAAAA&ccb=7-5&oh=00_AYBN5vPTfzOeqG45jaFguOgjtTyp7siznlqNqDpXu_tQkA&oe=67B84341&_nc_sid=d885a2,673.0,-m8sI7QrA9,2015,11
